iter	RMSE
0	4.247808194
1	4.143954663
2	4.056698063
3	3.981495453
4	3.914382695
5	3.859382027
6	3.814008789
7	3.777342245
8	3.744355241
9	3.71579626
10	3.692101212
11	3.672452478
12	3.653035703
13	3.638845724
14	3.622133408
15	3.605228737
16	3.591984071
17	3.578031786
18	3.56588852
19	3.556012643
20	3.545141237
21	3.538247398
22	3.529357457
23	3.522253087
24	3.51459017
25	3.509675678
26	3.503548312
27	3.498909419
28	3.493554687
29	3.485873561
30	3.481518841
31	3.476696355
32	3.47181297
33	3.465481604
34	3.462406936
35	3.458888314
36	3.453233604
37	3.448862729
38	3.445144239
39	3.441738195
40	3.438150585
41	3.435337646
42	3.431056821
43	3.427488181
44	3.424229886
45	3.422595558
46	3.420838763
47	3.419248789
48	3.417122965
49	3.414718945
50	3.412188043
51	3.410602715
52	3.409254701
53	3.406019023
54	3.402660681
55	3.400859055
56	3.399775244
57	3.398209115
58	3.395924727
59	3.393762618
60	3.391512857
61	3.389948641
62	3.387842777
63	3.386783779
64	3.384494836
65	3.382812964
66	3.381203641
67	3.379464386
68	3.378154314
69	3.377143551
70	3.375534474
71	3.373685108
72	3.37126006
73	3.369965124
74	3.368643387
75	3.367497032
76	3.366518068
77	3.365210579
78	3.364347748
79	3.363240082
80	3.361686726
81	3.360730411
82	3.358794554
83	3.358234588
84	3.356435935
85	3.35535802
86	3.354376884
87	3.353665742
88	3.351998354
89	3.350078693
90	3.348646664
91	3.347884697
92	3.34707193
93	3.344882168
94	3.344259343
95	3.343698347
96	3.342665003
97	3.341311416
98	3.339654987
99	3.338022332
100	3.336930805
101	3.334365621
102	3.333136488
103	3.331023633
104	3.330350527
105	3.328856058
106	3.327538134
107	3.326370119
108	3.325016779
109	3.323050551
110	3.320964691
111	3.319089202
112	3.317420433
113	3.31561647
114	3.313938519
115	3.312473457
116	3.311036087
117	3.309590828
118	3.308270726
119	3.306872604
120	3.305818079
121	3.304787684
122	3.303654147
123	3.302554236
124	3.301381839
125	3.299925947
126	3.298435023
127	3.297067709
128	3.296036625
129	3.295057725
130	3.293967952
131	3.292864556
132	3.291823725
133	3.29090557
134	3.290060946
135	3.289241145
136	3.28786034
137	3.28694701
138	3.285411544
139	3.284698164
140	3.283857114
141	3.282648754
142	3.281557973
143	3.280384805
144	3.279793292
145	3.278412636
146	3.277567816
147	3.276569678
148	3.275874214
149	3.275376138
150	3.274538772
151	3.273785571
152	3.27313082
153	3.272190862
154	3.271222794
155	3.270538726
156	3.26950047
157	3.268770537
158	3.267752224
159	3.266996337
160	3.266172197
161	3.264518401
162	3.2635812
163	3.262358076
164	3.261152224
165	3.260205906
166	3.259511471
167	3.258722921
168	3.258262894
169	3.257451632
170	3.256371303
171	3.255611696
172	3.254541976
173	3.254050277
174	3.253376805
175	3.252855478
176	3.251936709
177	3.251083209
178	3.250329797
179	3.249520298
180	3.249052092
181	3.248294331
182	3.24764499
183	3.246790111
184	3.245908389
185	3.245279129
186	3.244849141
187	3.244370225
188	3.243602378
189	3.243128782
190	3.242480308
191	3.241751179
192	3.241100215
193	3.240345551
194	3.239962792
195	3.239422442
196	3.238449462
197	3.238077181
198	3.237243149
199	3.236632408
