sigla_uf,sexo,grau_instrucao,faixa_etaria,media_salarial
AC,01,01,61-80,1975.5409230769233
AC,02,01,26-35,1714.3058333333331
AC,01,01,26-35,1945.9193150684935
AC,02,01,61-80,1740.175
AC,01,01,46-60,1824.7096575342466
AC,01,01,36-45,1601.4344047619047
AC,02,01,46-60,1517.3214634146343
AC,01,01,18-25,1489.1805555555554
AC,02,01,36-45,1479.4495238095237
AC,02,01,18-25,1834.8100000000002
AC,01,02,26-35,1849.1723776223776
AC,01,02,0-17,2135.1932786885254
AC,01,02,46-60,2162.9732322053669
AC,02,02,36-45,1682.1995287958114
AC,02,02,18-25,2147.0262499999994
AC,02,02,0-17,2538.5679999999998
AC,01,02,81+,2022.0
AC,01,02,36-45,1909.1396892655366
AC,01,02,18-25,1511.8371895424839
AC,02,02,46-60,1912.2715492957748
AC,01,02,61-80,2730.93010909091
AC,02,02,26-35,2627.3192857142853
AC,02,02,61-80,3104.8335135135139
AC,01,03,18-25,1516.6362820512829
AC,02,03,61-80,2148.902727272728
AC,01,03,36-45,1871.7586243386243
AC,02,03,26-35,1534.0939682539681
AC,02,03,18-25,1286.748823529412
AC,01,03,0-17,3405.87
AC,01,03,46-60,2176.5193002257333
AC,01,03,61-80,2470.2763265306121
AC,01,03,26-35,1696.9736398467437
AC,02,03,36-45,1659.4319565217395
AC,02,03,46-60,1870.8158095238091
AC,02,04,0-17,931.859540229885
AC,01,04,0-17,1423.7751162790696
AC,01,04,36-45,2057.1261387631985
AC,01,04,81+,829.01
AC,01,04,26-35,1848.6785934489396
AC,01,04,46-60,2650.7744083224979
AC,02,04,61-80,3473.6112322274867
AC,02,04,46-60,2816.8659366754609
AC,01,04,61-80,3626.9462587412586
AC,02,04,26-35,1663.6703539823009
AC,02,04,36-45,1744.287886597938
AC,02,04,18-25,1525.5068656716417
AC,01,04,18-25,1465.9170731707318
AC,02,05,36-45,1778.3994557823137
AC,01,05,18-25,1601.8707542579077
AC,02,05,18-25,1560.4885042735041
AC,01,05,61-80,3287.2513793103444
AC,02,05,61-80,3622.8279017857135
AC,02,05,0-17,2164.1389795918362
AC,01,05,26-35,1849.0094979367266
AC,01,05,46-60,2516.303852573018
AC,01,05,36-45,2130.3593711467329
AC,02,05,26-35,1694.621506276151
AC,02,05,46-60,2327.8018027210892
AC,01,05,0-17,2456.5706395348834
AC,02,06,18-25,1159.4314180478821
AC,02,06,36-45,1841.9048097826083
AC,01,06,0-17,778.16757188498411
AC,01,06,61-80,3136.8529347826097
AC,01,06,18-25,1404.1243724364231
AC,02,06,0-17,739.09739463601534
AC,01,06,26-35,1917.1877412731005
AC,01,06,36-45,2231.1417171717176
AC,01,06,46-60,2493.2072356215217
AC,02,06,61-80,3593.0078787878792
AC,02,06,26-35,1632.7334340659334
AC,02,06,46-60,2256.920647249191
AC,02,07,36-45,2220.2640855354662
AC,02,07,26-35,1930.928473933649
AC,01,07,81+,2428.3740000000003
AC,02,07,18-25,1586.1603667218549
AC,01,07,36-45,2569.8153263293807
AC,01,07,61-80,3735.1594694178339
AC,01,07,46-60,2841.9502821254105
AC,01,07,26-35,2123.1316883444883
AC,02,07,61-80,4097.7957513914662
AC,02,07,81+,4307.03
AC,01,07,18-25,1635.7036052882331
AC,02,07,46-60,2775.9346461824953
AC,02,07,0-17,2808.1639673913046
AC,01,07,0-17,3170.2026586102725
AC,02,08,26-35,2551.7937604690128
AC,01,08,18-25,1986.1731315483123
AC,02,08,0-17,2916.3223076923077
AC,01,08,0-17,6467.670000000001
AC,01,08,46-60,5705.9153469387747
AC,01,08,61-80,6107.5125714285723
AC,02,08,36-45,3158.0671114864858
AC,02,08,46-60,3981.6465313653139
AC,01,08,26-35,3083.0153861003864
AC,01,08,36-45,4866.6114586994736
AC,02,08,18-25,1840.1973000859848
AC,02,08,61-80,7148.9220833333338
AC,02,09,36-45,5163.3618204507648
AC,02,09,46-60,6428.5045319148931
AC,01,09,81+,12875.849999999999
AC,01,09,36-45,7459.86991316932
AC,01,09,46-60,9074.7876230492147
AC,02,09,18-25,2961.6965058032979
AC,01,09,18-25,3658.0746708463962
AC,02,09,61-80,9035.797160633485
AC,02,09,0-17,9146.4456944444482
AC,01,09,26-35,5431.8314075108656
AC,01,09,0-17,10132.820159817349
AC,02,09,81+,3593.98
AC,02,09,26-35,4231.1106794152793
AC,01,09,61-80,11545.145774487473
AC,01,10,36-45,11877.059763313608
AC,01,10,26-35,6849.8392063492056
AC,02,10,0-17,11348.547499999999
AC,02,10,46-60,11477.639478672991
AC,02,10,18-25,3950.64
AC,02,10,61-80,10046.253333333334
AC,01,10,0-17,12297.464399999999
AC,02,10,36-45,9066.1798148148155
AC,01,10,46-60,11970.428203592819
AC,01,10,18-25,5275.84
AC,02,10,26-35,6559.108653846155
AC,01,10,61-80,15506.482307692309
AC,01,11,26-35,10386.29825
AC,02,11,46-60,17221.323555555558
AC,02,11,61-80,16299.082727272727
AC,01,11,46-60,20573.32327433629
AC,01,11,61-80,21912.768181818181
AC,02,11,26-35,11671.859285714285
AC,02,11,36-45,15164.813277310921
AC,01,11,36-45,15861.025766423356
AC,01,11,0-17,9203.69625
