Renda_Total,log_renda,Sexo,Cor_Raca,UF,Escolaridade_Num,Escolaridade_Label,Idade,Setor_Economico,Area_Atuacao,Faixa_Etaria
20.0,3.044522437723423,Feminino,Branca,Rondônia,,,26,Desconhecido,Comércio,26-35
2121160.0,14.567474138256744,Masculino,Parda,Rondônia,7.0,Médio completo,60,Desconhecido,Administração Pública,46-60
2121122.0,14.567456223378814,Masculino,Parda,Rondônia,7.0,Médio completo,56,Desconhecido,,46-60
1140.0,7.039660349862076,Feminino,Preta,Rondônia,,,45,Desconhecido,Serviços,36-45
1150.0,7.048386408721883,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,28,Desconhecido,Serviços,26-35
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,58,Desconhecido,,46-60
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,37,Desconhecido,,36-45
1140.0,7.039660349862076,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,37,Desconhecido,Serviços,36-45
2121110.0,14.567450565982263,Feminino,Parda,Rondônia,7.0,Médio completo,45,Desconhecido,,36-45
20.0,3.044522437723423,Masculino,Branca,Rondônia,,,59,Desconhecido,,46-60
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,8.0,Superior incompleto,49,Desconhecido,,46-60
2.0,1.0986122886681098,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,29,Desconhecido,Comércio,26-35
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,47,Desconhecido,,46-60
1140.0,7.039660349862076,Masculino,Branca,Rondônia,12.0,Doutorado incompleto,39,Desconhecido,Serviços,36-45
1130.0,7.030857476116121,Feminino,Parda,Rondônia,11.0,Mestrado completo,51,Desconhecido,Serviços,46-60
1150.0,7.048386408721883,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,46,Desconhecido,Serviços,46-60
2.0,1.0986122886681098,Feminino,Parda,Rondônia,,,27,Desconhecido,,26-35
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,,,37,Desconhecido,,36-45
20.0,3.044522437723423,Masculino,Branca,Rondônia,7.0,Médio completo,19,Desconhecido,Comércio,18-25
2121130.0,14.567459994958734,Feminino,Branca,Rondônia,7.0,Médio completo,43,Desconhecido,,36-45
1130.0,7.030857476116121,Feminino,Parda,Rondônia,13.0,Doutorado completo,45,Desconhecido,Serviços,36-45
1140.0,7.039660349862076,Feminino,Parda,Rondônia,,,43,Desconhecido,Serviços,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,7.0,Médio completo,40,Desconhecido,Agricultura,36-45
2121130.0,14.567459994958734,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,36,Desconhecido,,36-45
2121120.0,14.567455280481612,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,51,Desconhecido,,46-60
12.0,2.5649493574615367,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,39,Desconhecido,Comércio,36-45
2.0,1.0986122886681098,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,35,Desconhecido,Comércio,26-35
2121130.0,14.567459994958734,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,43,Desconhecido,,36-45
1168.0,7.063903961472068,Masculino,Parda,Rondônia,,,32,Desconhecido,Serviços,26-35
2.0,1.0986122886681098,Masculino,Parda,Rondônia,7.0,Médio completo,56,Desconhecido,Comércio,46-60
1140.0,7.039660349862076,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,43,Desconhecido,Serviços,36-45
2111140.0,14.56273911758901,Masculino,Branca,Rondônia,7.0,Médio completo,45,Desconhecido,,36-45
1150.0,7.048386408721883,Masculino,Preta,Rondônia,12.0,Doutorado incompleto,52,Desconhecido,Serviços,46-60
2111180.0,14.562758064509685,Masculino,Branca,Rondônia,7.0,Médio completo,58,Desconhecido,Administração Pública,46-60
2621130.0,14.77911646197985,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,60,Desconhecido,,46-60
20.0,3.044522437723423,Masculino,Preta,Rondônia,7.0,Médio completo,35,Desconhecido,Comércio,26-35
