iter	Passed	Remaining
0	50	50822
1	51	25778
2	52	17459
3	53	13299
4	54	10787
5	55	9114
6	55	7924
7	57	7074
8	58	6404
9	59	5868
10	60	5442
11	61	5076
12	62	4760
13	63	4500
14	65	4277
15	66	4082
16	67	3910
17	68	3749
18	69	3608
19	71	3483
20	72	3371
21	73	3281
22	75	3189
23	76	3102
24	77	3007
25	78	2935
26	79	2867
27	80	2802
28	81	2743
29	83	2688
30	84	2636
31	94	2846
32	96	2817
33	98	2788
34	99	2755
35	101	2723
36	103	2696
37	104	2656
38	106	2613
39	106	2564
40	107	2520
41	108	2476
42	109	2433
43	110	2392
44	110	2353
45	112	2325
46	112	2289
47	113	2254
48	114	2224
49	115	2192
50	116	2162
51	116	2132
52	117	2103
53	118	2076
54	119	2050
55	120	2035
56	122	2019
57	124	2022
58	128	2052
59	130	2044
60	131	2030
61	133	2024
62	134	2002
63	135	1981
64	136	1959
65	137	1939
66	138	1923
67	138	1903
68	139	1883
69	140	1865
70	141	1847
71	142	1830
72	142	1813
73	143	1796
74	144	1780
75	145	1764
76	145	1748
77	146	1733
78	147	1718
79	148	1709
80	149	1695
81	150	1682
82	151	1668
83	151	1656
84	152	1644
85	153	1631
86	154	1619
87	155	1607
88	155	1595
89	156	1583
90	157	1572
91	158	1561
92	158	1550
93	159	1539
94	160	1529
95	161	1518
96	162	1508
97	162	1499
98	163	1489
99	164	1480
100	165	1470
101	166	1461
102	166	1453
103	167	1444
104	168	1435
105	169	1427
106	170	1419
107	170	1411
108	171	1402
109	172	1394
110	173	1386
111	173	1379
112	174	1371
113	176	1370
114	177	1365
115	178	1360
116	179	1355
117	180	1351
118	181	1344
119	182	1336
120	183	1330
121	183	1323
122	184	1316
123	185	1310
124	186	1303
125	186	1296
126	187	1290
127	188	1283
128	189	1277
129	190	1271
130	190	1265
131	191	1259
132	192	1253
133	193	1247
134	193	1242
135	194	1237
136	195	1231
137	196	1229
138	197	1225
139	199	1223
140	200	1219
141	201	1217
142	202	1214
143	203	1211
144	205	1209
145	206	1206
146	207	1203
147	208	1201
148	209	1198
149	211	1196
150	212	1193
151	213	1191
152	214	1188
153	215	1186
154	217	1183
155	218	1180
156	219	1178
157	220	1176
158	221	1173
159	223	1171
160	224	1168
161	225	1166
162	226	1163
163	227	1161
164	228	1158
165	230	1156
166	231	1153
167	232	1152
168	233	1150
169	235	1148
170	236	1146
171	237	1143
172	238	1142
173	240	1139
174	241	1137
175	242	1135
176	243	1132
177	244	1130
178	245	1128
179	247	1125
180	248	1123
181	249	1121
182	250	1118
183	251	1117
184	253	1114
185	254	1112
186	255	1110
187	256	1107
188	257	1105
189	258	1104
190	260	1102
191	261	1099
192	262	1097
193	263	1094
194	264	1092
195	265	1090
196	267	1088
197	268	1086
198	269	1084
199	270	1082
200	271	1080
201	273	1078
202	274	1077
203	275	1075
204	276	1073
205	278	1072
206	279	1070
207	280	1069
208	282	1068
209	285	1074
210	287	1076
211	288	1073
212	289	1069
213	290	1065
214	291	1063
215	292	1059
216	292	1056
217	293	1053
218	294	1049
219	295	1046
220	296	1043
221	296	1040
222	297	1037
223	298	1033
224	299	1030
225	300	1027
226	300	1024
227	301	1021
228	302	1018
229	303	1015
230	304	1012
231	304	1009
232	305	1006
233	306	1003
234	307	1000
235	308	997
236	308	994
237	309	991
238	310	988
239	311	985
240	312	983
241	312	980
242	313	977
243	314	974
244	315	971
245	316	968
246	316	966
247	317	963
248	318	960
249	319	957
250	320	955
251	320	952
252	321	949
253	322	947
254	323	944
255	324	941
256	324	939
257	325	936
258	326	934
259	327	931
260	328	929
261	328	926
262	329	923
263	330	921
264	331	918
265	332	917
266	333	915
267	334	913
268	335	910
269	336	909
270	337	908
271	338	906
272	340	907
273	342	906
274	343	906
275	344	904
276	345	901
277	346	900
278	348	899
279	349	898
280	350	897
281	351	896
282	353	894
283	354	893
284	355	891
285	356	890
286	358	889
287	359	888
288	361	889
289	362	888
290	363	885
291	364	883
292	365	881
293	366	880
294	367	878
295	369	877
296	370	876
297	371	874
298	372	874
299	374	873
300	375	871
301	376	870
302	378	869
303	379	868
304	380	866
305	381	865
306	382	863
307	383	862
308	385	860
309	386	859
310	387	858
311	388	856
312	389	854
313	389	851
314	390	849
315	391	847
316	392	845
317	393	843
318	394	841
319	395	839
320	395	837
321	396	835
322	397	834
323	399	833
324	400	831
325	401	830
326	402	828
327	403	827
328	404	825
329	405	824
330	407	822
331	408	821
332	409	820
333	410	818
334	411	817
335	412	815
336	413	814
337	414	812
338	415	811
339	417	809
340	418	808
341	419	806
342	420	805
343	421	803
344	422	802
345	423	801
346	425	799
347	426	798
348	427	797
349	428	795
350	429	794
351	430	792
352	431	791
353	433	790
354	434	788
355	435	787
356	436	786
357	437	784
358	438	783
359	439	781
360	440	780
361	441	778
362	443	777
363	444	776
364	445	774
365	446	773
366	447	772
367	448	770
368	449	769
369	451	768
370	452	767
371	453	765
372	454	763
373	454	761
374	455	759
375	456	757
376	457	755
377	457	753
378	458	751
379	460	751
380	461	749
381	462	747
382	462	745
383	463	743
384	464	741
385	465	739
386	465	737
387	466	736
388	467	734
389	468	732
390	468	730
391	469	728
392	470	726
393	471	724
394	471	722
395	472	720
396	473	718
397	474	717
398	474	715
399	475	713
400	476	711
401	477	709
402	478	708
403	478	706
404	479	704
405	480	702
406	480	700
407	481	698
408	482	697
409	483	695
410	484	693
411	484	691
412	485	690
413	486	688
414	487	686
415	487	684
416	488	683
417	489	681
418	490	679
419	490	677
420	491	676
421	492	674
422	493	672
423	494	671
424	494	669
425	495	667
426	496	666
427	497	664
428	498	663
429	499	661
430	499	659
431	500	658
432	501	656
433	502	655
434	503	653
435	504	652
436	504	650
437	506	649
438	507	648
439	508	646
440	508	645
441	509	643
442	510	641
443	511	640
444	512	638
445	512	636
446	513	635
447	514	633
448	515	632
449	515	630
450	516	628
451	517	627
452	518	625
453	518	624
454	519	622
455	520	620
456	521	619
457	522	617
458	522	616
459	523	614
460	524	613
461	525	612
462	526	610
463	527	609
464	528	607
465	529	606
466	529	604
467	530	603
468	531	601
469	532	600
470	533	598
471	533	597
472	534	595
473	535	594
474	536	592
475	536	591
476	537	589
477	538	588
478	539	586
479	540	585
480	540	583
481	541	582
482	542	580
483	543	579
484	544	578
485	545	576
486	546	575
487	547	573
488	547	572
489	548	571
490	549	570
491	551	569
492	552	568
493	553	567
494	554	566
495	555	564
496	556	563
497	557	561
498	557	560
499	558	558
500	559	557
501	560	555
502	562	555
503	563	554
504	564	553
505	565	552
506	568	552
507	570	552
508	572	552
509	573	551
510	574	550
511	576	549
512	577	548
513	578	546
514	579	545
515	580	544
516	581	542
517	581	541
518	582	540
519	583	538
520	584	537
521	584	535
522	586	534
523	587	533
524	588	532
525	589	531
526	591	530
527	592	529
528	593	528
529	594	527
530	596	526
531	597	525
532	599	525
533	601	524
534	602	524
535	604	523
536	606	522
537	607	521
538	608	520
539	609	519
540	610	517
541	610	516
542	611	514
543	612	513
544	613	511
545	614	510
546	615	509
547	616	508
548	618	507
549	618	506
550	620	505
551	621	504
552	622	503
553	623	501
554	624	500
555	624	498
556	625	497
557	626	496
558	627	494
559	628	493
560	628	492
561	629	490
562	630	489
563	631	488
564	632	486
565	632	485
566	633	483
567	634	482
568	635	481
569	635	479
570	638	479
571	639	478
572	639	476
573	640	475
574	641	474
575	642	472
576	643	471
577	643	470
578	644	468
579	645	467
580	646	465
581	646	464
582	648	463
583	649	462
584	649	460
585	650	459
586	651	458
587	652	457
588	653	455
589	653	454
590	654	453
591	655	451
592	656	450
593	657	449
594	657	447
595	658	446
596	659	445
597	660	443
598	661	442
599	661	441
600	662	439
601	663	438
602	664	437
603	664	435
604	666	434
605	667	433
606	668	432
607	669	431
608	671	430
609	672	429
610	673	428
611	674	427
612	675	426
613	677	425
614	678	424
615	679	423
616	680	422
617	681	421
618	683	420
619	684	419
620	685	418
621	686	417
622	687	416
623	689	415
624	690	414
625	691	413
626	692	412
627	693	410
628	694	409
629	696	408
630	697	407
631	698	406
632	699	405
633	700	404
634	701	403
635	702	402
636	703	401
637	704	399
638	705	398
639	707	397
640	708	396
641	709	395
642	710	394
643	711	393
644	712	392
645	713	391
646	714	390
647	716	389
648	717	387
649	718	386
650	718	385
651	719	384
652	720	382
653	721	381
654	722	380
655	722	379
656	723	377
657	724	376
658	725	375
659	726	374
660	727	373
661	728	372
662	729	370
663	730	369
664	731	368
665	732	367
666	734	366
667	735	365
668	736	364
669	737	363
670	739	362
671	740	361
672	741	360
673	742	359
674	743	358
675	745	357
676	746	356
677	747	354
678	748	353
679	750	353
680	752	352
681	753	351
682	755	350
683	755	349
684	756	347
685	757	346
686	758	345
687	759	344
688	759	342
689	760	341
690	761	340
691	762	339
692	762	337
693	763	336
694	764	335
695	765	334
696	766	333
697	766	331
698	767	330
699	768	329
700	769	328
701	769	326
702	770	325
703	771	324
704	772	323
705	773	321
706	773	320
707	774	319
708	775	318
709	776	317
710	776	315
711	777	314
712	778	313
713	780	312
714	781	311
715	782	310
716	783	309
717	784	308
718	786	307
719	787	306
720	788	305
721	789	304
722	790	302
723	792	301
724	793	300
725	794	299
726	795	298
727	797	297
728	799	297
729	801	296
730	802	295
731	804	294
732	806	293
733	807	292
734	808	291
735	809	290
736	811	289
737	812	288
738	813	287
739	814	286
740	815	285
741	816	284
742	818	283
743	819	281
744	820	280
745	821	279
746	822	278
747	824	277
748	825	276
749	826	275
750	827	274
751	828	273
752	830	272
753	831	271
754	832	270
755	833	269
756	834	268
757	836	266
758	837	265
759	838	264
760	839	263
761	840	262
762	842	261
763	843	260
764	844	259
765	845	258
766	846	257
767	848	256
768	849	255
769	850	254
770	851	253
771	852	251
772	854	250
773	855	249
774	856	248
775	857	247
776	859	246
777	860	245
778	861	244
779	862	243
780	863	242
781	864	241
782	866	240
783	867	238
784	868	237
785	869	236
786	870	235
787	871	234
788	871	233
789	872	231
790	873	230
791	874	229
792	874	228
793	875	227
794	876	226
795	877	224
796	878	223
797	878	222
798	879	221
799	880	220
800	881	218
801	882	217
802	882	216
803	883	215
804	884	214
805	885	213
806	886	211
807	886	210
808	887	209
809	888	208
810	889	207
811	890	206
812	890	204
813	891	203
814	892	202
815	893	201
816	893	200
817	894	199
818	895	197
819	896	196
820	897	195
821	897	194
822	898	193
823	899	192
824	900	190
825	901	189
826	901	188
827	902	187
828	903	186
829	904	185
830	905	184
831	905	182
832	906	181
833	907	180
834	908	179
835	909	178
836	909	177
837	910	176
838	911	174
839	912	173
840	913	172
841	913	171
842	914	170
843	915	169
844	916	168
845	917	166
846	917	165
847	918	164
848	919	163
849	920	162
850	921	161
851	921	160
852	922	159
853	923	157
854	924	156
855	924	155
856	925	154
857	926	153
858	927	152
859	928	151
860	928	149
861	929	148
862	930	147
863	931	146
864	931	145
865	932	144
866	933	143
867	934	142
868	934	140
869	935	139
870	936	138
871	937	137
872	938	136
873	938	135
874	939	134
875	940	133
876	941	132
877	942	130
878	943	129
879	943	128
880	944	127
881	945	126
882	946	125
883	946	124
884	947	123
885	948	122
886	949	120
887	950	119
888	950	118
889	951	117
890	952	116
891	953	115
892	953	114
893	954	113
894	955	112
895	956	110
896	957	109
897	957	108
898	958	107
899	959	106
900	960	105
901	960	104
902	961	103
903	962	102
904	963	101
905	964	100
906	964	98
907	965	97
908	966	96
909	967	95
910	968	94
911	968	93
912	969	92
913	970	91
914	971	90
915	972	89
916	972	88
917	973	86
918	974	85
919	975	84
920	975	83
921	976	82
922	977	81
923	978	80
924	979	79
925	979	78
926	980	77
927	981	76
928	982	75
929	982	73
930	983	72
931	984	71
932	985	70
933	985	69
934	986	68
935	987	67
936	988	66
937	989	65
938	989	64
939	990	63
940	991	62
941	992	61
942	993	60
943	993	58
944	994	57
945	995	56
946	996	55
947	997	54
948	997	53
949	998	52
950	999	51
951	1000	50
952	1000	49
953	1001	48
954	1002	47
955	1003	46
956	1004	45
957	1004	44
958	1005	42
959	1006	41
960	1007	40
961	1007	39
962	1008	38
963	1009	37
964	1010	36
965	1010	35
966	1011	34
967	1012	33
968	1013	32
969	1014	31
970	1014	30
971	1015	29
972	1016	28
973	1017	27
974	1017	26
975	1018	25
976	1019	24
977	1020	22
978	1021	21
979	1022	20
980	1022	19
981	1023	18
982	1024	17
983	1025	16
984	1026	15
985	1026	14
986	1027	13
987	1028	12
988	1029	11
989	1029	10
990	1030	9
991	1031	8
992	1032	7
993	1033	6
994	1033	5
995	1034	4
996	1035	3
997	1036	2
998	1037	1
999	1037	0
