Idade,Escolaridade_Num,Sexo,Cor_Raca,UF,Area_Atuacao,log_renda_real,log_renda_prevista
47,7.0,0,3,9,5,1.0986122886681098,0.8864285360226489
22,11.0,1,4,2,2,1.0986122886681098,2.0776724798769615
70,9.319762933421956,1,1,13,2,2.772588722239781,2.721787982804961
19,10.0,1,1,9,5,14.699757735154757,1.085018933820189
61,5.0,0,4,4,5,0.6931471805599453,1.9290006592343836
40,13.0,0,1,3,4,7.099201743553092,7.044704394252232
40,7.0,1,1,7,5,14.657595282110147,14.118842608782296
33,10.0,0,3,4,5,0.6931471805599453,4.738131219608053
26,12.0,0,1,19,2,1.0986122886681098,3.612418592407964
24,10.0,0,4,13,5,0.6931471805599453,2.6585867831648087
43,7.0,0,1,16,5,12.266800791399572,3.6343471342164917
25,10.0,0,1,25,2,1.0986122886681098,2.8029743054524094
39,7.0,0,3,1,1,3.044522437723423,3.0578543233806816
21,10.0,1,3,3,2,3.044522437723423,3.6238498094926053
49,12.0,0,1,25,4,7.065613363597717,6.939646772855127
57,14.0,1,1,21,4,7.039660349862076,7.059328030104954
47,13.0,1,3,0,4,7.065613363597717,7.052162451248111
48,7.0,1,3,18,2,3.044522437723423,2.885318816737536
28,12.0,0,3,2,2,3.044522437723423,2.653829457555804
58,7.0,1,3,17,5,3.9318256327243257,5.128667642547499
41,10.0,1,3,11,2,16.30041812441852,3.4594541979209628
53,10.0,0,1,25,4,7.030857476116121,6.9203003899183075
44,8.0,0,1,12,5,1.0986122886681098,9.636419715068028
48,10.0,1,3,2,2,1.0986122886681098,3.455928534113636
44,12.0,1,3,5,2,3.044522437723423,2.819824296034795
64,13.0,1,3,21,4,7.039660349862076,7.0463771357383855
43,7.0,0,3,9,5,12.260144077317902,4.134216548203444
59,9.319762933421956,1,3,1,2,3.044522437723423,2.900164366029818
54,7.0,1,1,23,5,14.562743854352831,13.550552426184588
47,10.0,1,3,6,3,7.048386408721883,7.0559104353187
44,10.0,0,3,2,5,14.567455280481612,2.050506416107572
45,12.0,0,1,20,4,7.030857476116121,6.459329791747376
41,12.0,0,1,12,5,3.9318256327243257,3.2132794562988902
49,7.0,0,1,11,2,3.044522437723423,2.52704136138442
56,10.0,1,1,22,4,7.048386408721883,7.038135357072369
21,10.0,1,3,3,2,1.0986122886681098,3.6238498094926053
40,10.0,1,1,4,2,3.044522437723423,2.8049444556215515
21,7.0,0,3,3,5,0.6931471805599453,0.8635405427407957
33,7.0,1,3,2,1,3.9318256327243257,2.4950750614742647
39,11.0,1,1,24,2,3.044522437723423,3.2211837513700368
46,13.0,0,2,3,4,7.030857476116121,7.055828640351843
22,9.319762933421956,0,3,10,2,3.044522437723423,1.9444160236282508
52,7.0,1,3,5,5,14.567450565982265,8.00511283935966
16,9.319762933421956,1,3,5,5,0.6931471805599453,0.6976072967491358
36,7.0,1,3,15,5,14.567488281354724,6.660679296442092
22,10.0,1,1,18,2,3.044522437723423,3.6182492784458042
62,6.0,0,1,23,4,7.030857476116121,6.831827150032593
35,12.0,0,4,0,2,3.044522437723423,3.9573539047727153
19,9.319762933421956,1,3,20,2,3.044522437723423,3.3346679833026336
48,9.319762933421956,1,3,5,5,14.567450565982265,3.3962201795329423
42,7.0,1,3,22,5,3.9318256327243257,6.114802916931507
30,7.0,0,3,4,5,0.6931471805599453,1.363186747838823
43,7.0,1,4,18,5,14.562724907162917,6.185516611543352
54,12.0,0,1,0,4,7.074116816197362,7.033906870479264
35,7.0,0,4,24,5,1.0986122886681098,1.8070608780063915
23,10.0,1,3,9,3,7.023758954738443,6.871738769868781
61,3.0,1,3,17,5,0.6931471805599453,1.0013006627221497
55,7.0,0,1,5,5,1.0986122886681098,2.733276003778919
27,10.0,0,4,5,2,3.9318256327243257,2.7702945046337466
23,7.0,1,1,13,2,3.044522437723423,2.7388862144988404
25,12.0,0,1,10,4,7.030857476116121,4.1920720015826785
18,9.319762933421956,0,1,23,2,3.044522437723423,3.5555754657015877
46,10.0,0,1,25,5,0.6931471805599453,1.5615497500905007
50,14.0,0,1,16,4,7.057036981697891,7.063570182867282
47,12.0,0,1,2,4,1.0986122886681098,6.983860687514612
37,10.0,1,1,22,5,14.5674694238463,6.511926458301763
49,10.0,1,3,26,4,7.030857476116121,6.58321812325572
28,7.0,0,3,3,5,14.567474138256744,10.46777939100842
61,10.0,0,1,6,5,0.6931471805599453,1.225766252398891
45,13.0,0,3,14,4,7.039660349862076,5.640890112755915
28,7.0,0,3,2,5,14.699737083691971,2.6637938804969616
31,7.0,1,2,22,2,1.0986122886681098,2.995972685123134
51,10.0,1,1,10,0,3.9318256327243257,13.25391190893064
50,7.0,0,1,23,5,14.562743854352831,12.828600561428955
51,12.0,1,3,3,4,7.039660349862076,7.047689539922295
48,7.0,1,3,0,5,13.929875313507958,6.491288991470547
29,13.0,0,1,13,5,2.5649493574615367,5.652122817649342
19,10.0,1,3,16,3,7.039660349862076,6.9135666121535175
49,10.0,1,1,11,4,3.9318256327243257,6.93825140357279
59,14.0,1,3,16,4,7.057036981697891,7.051925072280446
37,7.0,1,3,15,5,13.929869069960551,8.496566545049154
30,10.0,0,3,6,5,0.6931471805599453,2.1605148726567363
20,7.0,0,3,22,5,0.6931471805599453,0.8373672579415613
55,10.0,1,3,9,5,14.613522581356566,10.890715623169779
54,7.0,0,3,14,5,0.6931471805599453,2.6824459022131157
70,7.0,1,1,16,5,12.306424639456878,10.16023690130372
27,7.0,0,1,15,5,1.0986122886681098,2.4654311644691207
58,7.0,1,1,12,2,3.044522437723423,2.469371094064911
32,10.0,1,1,5,4,3.044522437723423,5.097859100221555
21,7.0,1,3,9,2,3.9318256327243257,3.6462555579449294
26,10.0,0,3,22,2,3.044522437723423,2.116647614982215
40,10.0,1,1,14,4,2.5649493574615367,6.146772899949926
29,12.0,1,1,23,4,7.057036981697891,6.124109295813563
30,10.0,0,1,14,2,1.0986122886681098,3.2222078225880266
22,9.319762933421956,1,1,1,5,1.0986122886681098,1.1228527616443034
34,7.0,1,4,12,2,3.044522437723423,3.8389175166818075
51,7.0,1,1,10,5,3.9318256327243257,13.751147604963153
56,7.0,0,3,14,4,7.039660349862076,4.130602082826357
30,11.0,0,3,4,5,1.0986122886681098,1.8224957996175897
47,9.319762933421956,0,4,26,5,1.0986122886681098,2.593931896992024
43,14.0,0,1,11,4,7.048386408721883,7.053115394789516
67,6.0,1,3,2,4,7.039660349862076,6.543143808626631
50,9.319762933421956,1,4,3,5,14.740210235347526,14.022136709303208
55,9.319762933421956,0,3,17,5,1.0986122886681098,6.422318766291183
29,12.0,0,3,18,4,7.030857476116121,6.867209090043988
25,9.319762933421956,0,3,0,2,3.044522437723423,2.343086317834883
47,10.0,0,1,25,2,4.51085950651685,2.856264049358381
62,12.0,0,1,18,4,7.048386408721883,7.0490696863829045
51,7.0,1,3,24,5,14.567474138256744,4.412827872142288
53,7.0,0,3,2,1,1.0986122886681098,2.1792020439788145
45,9.319762933421956,0,1,20,5,1.0986122886681098,4.635359968895319
48,7.0,0,4,9,5,0.6931471805599453,2.1748890666267173
55,7.0,1,3,3,1,4.262679877041316,2.904753062888091
51,7.0,0,1,23,5,14.567459994958734,12.27686141906195
17,7.0,1,3,12,2,3.044522437723423,2.065799674524151
41,13.0,1,3,18,4,7.057036981697891,7.055117393735438
36,10.0,1,4,4,5,3.9318256327243257,10.874461873002696
54,13.0,0,3,14,4,7.048386408721883,7.022239556505474
36,10.0,0,1,26,5,1.0986122886681098,1.1387712807670158
40,7.0,1,3,26,5,0.6931471805599453,11.953080535815046
45,12.0,0,1,8,0,3.713572066704308,9.346525940133724
59,7.0,1,1,10,5,14.562748591094222,11.817625473844974
32,9.319762933421956,0,1,14,5,1.0986122886681098,0.8057624086613582
28,9.319762933421956,0,1,14,5,0.6931471805599453,0.9071286856883987
51,14.0,0,1,13,4,7.057036981697891,7.0551625243735625
55,7.0,0,1,13,5,14.567459994958734,7.757432066749943
56,10.0,0,3,12,2,3.044522437723423,3.0532421853378753
47,10.0,0,4,20,2,2.6390573296152584,2.143047732520513
27,12.0,0,1,1,2,3.044522437723423,2.3968852423744984
43,12.0,0,3,21,4,7.039660349862076,7.048639860460415
60,13.0,0,3,8,4,7.065613363597717,7.050252384338568
17,10.0,0,3,8,5,0.6931471805599453,3.3885042302068347
27,10.0,1,1,0,4,3.044522437723423,2.74337239731597
25,7.0,0,3,9,5,0.6931471805599453,1.385854610145749
58,10.0,1,1,13,5,14.562743854352831,12.480445190092977
31,10.0,0,1,17,5,0.6931471805599453,0.9901747981633509
60,10.0,1,3,22,2,4.394449154672439,3.0850196239204184
33,10.0,1,1,19,5,14.15989498194206,13.80585689484848
35,9.319762933421956,1,3,0,5,3.9318256327243257,5.706527045579988
21,11.0,0,1,19,5,14.562730591357584,2.3194753261860352
27,10.0,0,3,25,5,1.0986122886681098,4.755432015357489
45,7.0,0,1,18,5,0.6931471805599453,0.756464413250223
40,7.0,1,4,9,5,0.6931471805599453,9.198810058767119
14,9.319762933421956,1,1,26,5,1.0986122886681098,5.296511104336739
55,7.0,0,4,9,5,14.699761865396136,7.275578766393806
52,10.0,0,4,13,5,0.6931471805599453,2.5052751995160407
74,3.0,1,3,16,5,1.0986122886681098,1.0621204289383737
28,7.0,1,4,3,5,14.740210235347526,12.342633928035195
23,9.319762933421956,1,4,22,2,1.0986122886681098,2.615307626759407
36,7.0,1,3,15,2,3.044522437723423,6.694238970427494
37,9.319762933421956,0,3,10,4,3.044522437723423,5.123506014469968
18,10.0,0,3,15,5,0.6931471805599453,0.7931590399415844
56,10.0,1,1,23,5,14.562734380802748,7.379593469020006
33,7.0,1,3,16,2,1.0986122886681098,2.9166459843061396
48,10.0,0,4,12,5,1.0986122886681098,2.865596577278086
16,9.319762933421956,0,3,9,5,0.6931471805599453,0.7053111338031907
58,7.0,0,3,13,5,0.6931471805599453,2.0213576658443926
50,10.0,1,3,12,5,1.0986122886681098,6.145650205507017
57,10.0,1,3,18,2,1.0986122886681098,2.6815677429793197
35,13.0,0,1,18,4,7.039660349862076,7.046588204505842
37,7.0,1,4,8,2,1.0986122886681098,2.465941260405096
58,5.0,0,4,7,5,1.0986122886681098,2.164053923013291
55,13.0,1,3,11,2,2.079441541679836,5.713771835874972
24,10.0,0,3,12,1,1.0986122886681098,2.132797669114636
47,7.0,0,3,9,5,0.6931471805599453,0.8864285360226489
28,10.0,1,3,8,2,3.713572066704308,3.020597850657221
14,9.319762933421956,0,3,22,5,0.6931471805599453,0.8804892138969262
28,10.0,0,3,22,4,7.030857476116121,2.267461004135605
64,7.0,1,3,2,5,0.6931471805599453,4.953154306107031
59,7.0,1,1,15,5,14.567450565982265,10.415686100877727
67,3.0,1,3,2,2,3.044522437723423,2.711533084148532
34,12.0,1,1,18,4,7.030857476116121,6.017547059425701
31,7.0,1,3,26,2,3.044522437723423,2.9045363636405686
59,7.0,0,3,13,5,1.0986122886681098,2.088938621927268
58,7.0,1,3,16,5,14.567455280481612,8.417307290485
49,7.0,1,4,17,5,0.6931471805599453,10.533269929700435
45,7.0,1,3,21,5,14.159937500425206,13.201337175221894
24,10.0,0,3,10,4,4.553876891600541,3.1915576371466226
56,7.0,0,3,20,1,3.9318256327243257,3.6908695610008704
57,5.0,0,4,18,5,1.0986122886681098,2.0176910109490134
56,7.0,0,3,21,2,1.0986122886681098,3.2496773926010083
62,9.319762933421956,1,4,4,5,14.567450565982265,9.60367057971127
57,5.0,0,3,4,5,0.6931471805599453,0.7894846491775855
48,10.0,1,2,22,2,3.044522437723423,2.9563056467729365
26,10.0,0,3,9,5,0.6931471805599453,1.9793088338862557
39,10.0,1,1,5,2,3.044522437723423,2.4953183642676025
49,9.319762933421956,1,3,16,5,14.567459994958734,11.047408276569236
55,11.0,0,1,6,2,1.0986122886681098,3.2650583018674
15,9.319762933421956,0,3,15,5,0.6931471805599453,0.7818571538553247
17,10.0,0,3,17,2,3.713572066704308,2.618485040475142
29,7.0,1,3,15,2,3.044522437723423,3.4270233379837425
26,10.0,0,3,24,4,3.044522437723423,3.5369383429514483
37,9.319762933421956,1,3,18,2,1.0986122886681098,3.935738648850521
84,10.0,1,3,4,5,14.56746470941363,5.93876094922423
45,14.0,0,3,24,4,7.030857476116121,6.927921897696442
16,9.319762933421956,1,3,24,5,1.0986122886681098,0.8977140390788902
36,10.0,0,1,25,5,1.0986122886681098,1.1021603337923112
42,9.319762933421956,0,3,7,2,3.80666248977032,2.656443218061517
38,7.0,1,4,17,5,0.6931471805599453,8.227991846648194
49,7.0,0,3,9,5,14.15988789535244,0.8965332965805207
59,10.0,1,4,2,4,7.057036981697891,6.625030481156395
75,7.0,1,3,24,5,1.0986122886681098,7.738071957413091
50,7.0,1,1,1,5,0.6931471805599453,9.113918758794306
26,10.0,1,4,7,2,3.044522437723423,2.664690660435192
46,13.0,0,3,7,4,4.007333185232471,7.049251466332647
21,10.0,0,3,10,2,3.044522437723423,3.1000160627131894
16,7.0,1,3,16,5,3.9318256327243257,1.4127360422484492
52,7.0,0,3,18,5,0.6931471805599453,1.0520301129472698
36,10.0,0,3,5,4,7.039660349862076,4.215020021036272
45,12.0,0,3,2,4,7.048386408721883,7.048182230905983
51,10.0,0,1,25,5,0.6931471805599453,1.5018335752677114
30,10.0,0,4,9,5,0.6931471805599453,6.922185751173063
53,10.0,0,1,19,5,14.56272964399405,1.8378863040126716
33,7.0,0,3,24,5,0.6931471805599453,0.7056878485981511
71,5.0,1,3,8,5,1.0986122886681098,1.5152328674793318
25,12.0,0,3,0,4,7.048386408721883,5.666801307993139
32,10.0,1,3,10,2,3.044522437723423,3.8957285790923195
47,7.0,0,3,19,5,0.6931471805599453,10.009717122014337
34,7.0,1,1,1,2,3.044522437723423,3.188855212480423
35,10.0,0,3,4,5,0.6931471805599453,1.517788136877091
57,7.0,0,3,12,2,4.51085950651685,2.85060970801972
